,Window,Start date,End date,Coefficient,Constant
0,60,2020-01-01,2020-03-01,0.7439053117435652,-0.34522747333828957
1,60,2020-01-08,2020-03-08,1.1716726359107663,-0.1930459928476652
2,60,2020-01-15,2020-03-15,1.1685380684020819,-0.19890888124499959
3,60,2020-01-22,2020-03-22,1.643341210993525,-0.40009730640130936
4,60,2020-01-29,2020-03-29,1.6500668229124194,-0.43798941925364915
5,60,2020-02-05,2020-04-05,1.551514053732137,-0.7207714119937022
6,60,2020-02-12,2020-04-12,1.4732622743823058,-0.5906201205260453
7,60,2020-02-19,2020-04-19,1.5695185492882664,-0.4488242716297886
8,60,2020-02-26,2020-04-26,1.6188772359268235,-0.5941032190460188
9,60,2020-03-04,2020-05-03,1.6587955074647518,-0.48416086095282274
10,60,2020-03-11,2020-05-10,1.7876798001105612,-0.2204018276845882
11,60,2020-03-18,2020-05-17,1.8740182305676814,-0.11362672500116143
12,60,2020-03-25,2020-05-24,0.9206870072144044,0.00043525902880698405
13,60,2020-04-01,2020-05-31,0.7674366697911537,0.18743133590343655
14,60,2020-04-08,2020-06-07,1.38281004546481,0.43592575525838845
15,60,2020-04-15,2020-06-14,1.529151847441653,0.2159488384728824
16,60,2020-04-22,2020-06-21,1.5814008265220294,0.008097615303096398
17,60,2020-04-29,2020-06-28,1.6227511866829363,-0.12439689629224447
18,60,2020-05-06,2020-07-05,1.6771841036194475,-0.202856543906228
19,60,2020-05-13,2020-07-12,1.819443266825458,-0.4223198725526649
20,60,2020-05-20,2020-07-19,1.84404566080286,-0.5009349631714758
21,60,2020-05-27,2020-07-26,1.9416237618874352,-0.5191905888016363
22,60,2020-06-03,2020-08-02,1.9005150166654263,-0.5627272774140628
23,60,2020-06-10,2020-08-09,1.917733062685825,-0.5351865419513566
24,60,2020-06-17,2020-08-16,1.8221904318883293,-0.39032012406199573
25,60,2020-06-24,2020-08-23,1.93109807527347,-0.6384895762984473
26,60,2020-07-01,2020-08-30,1.9245360356329877,-0.602881662550526
27,60,2020-07-08,2020-09-06,1.9263167344079724,-0.6727852531093846
28,60,2020-07-15,2020-09-13,1.750072459180073,-0.5103067998067661
29,60,2020-07-22,2020-09-20,1.7553521878870506,-0.46731915984672057
30,60,2020-07-29,2020-09-27,1.5576230898541366,-0.5156316742369801
31,60,2020-08-05,2020-10-04,1.206494191547641,-0.5174940691686555
32,60,2020-08-12,2020-10-11,1.4011726754009974,-0.39997688402138465
33,60,2020-08-19,2020-10-18,1.4531035955269718,-0.49136146249741475
34,60,2020-08-26,2020-10-25,1.5969893663600425,-0.44483499707408325
35,60,2020-09-02,2020-11-01,1.5074288429259484,-0.35469007919814416
36,60,2020-09-09,2020-11-08,1.700621568345855,-0.07595186916481125
37,60,2020-09-16,2020-11-15,2.098893373933406,0.057313583278711756
38,60,2020-09-23,2020-11-22,1.9472585995525002,-0.04055730437052699
39,60,2020-09-30,2020-11-29,1.8467877594041582,-0.07976249492498959
40,60,2020-10-07,2020-12-06,1.6953156393842643,-0.09486645280655599
41,60,2020-10-14,2020-12-13,1.6509691712023273,-0.15980026605585274
42,60,2020-10-21,2020-12-20,1.5680541550432248,-0.03088982851385359
43,60,2020-10-28,2020-12-27,1.849706487819335,-0.2172018867391364
44,60,2020-11-04,2021-01-03,1.8795842078379772,-0.2934216593691426
45,60,2020-11-11,2021-01-10,2.5897072021406706,-0.7021562972897933
46,60,2020-11-18,2021-01-17,1.4727448154263734,-0.24671974145385792
47,60,2020-11-25,2021-01-24,1.335677691385349,-0.014089785033131302
48,60,2020-12-02,2021-01-31,1.3562925394923055,-0.00859751857409898
49,60,2020-12-09,2021-02-07,0.8882373409525094,0.07244256253076255
50,60,2020-12-16,2021-02-14,0.7194037255905721,-0.02289552121538797
51,60,2020-12-23,2021-02-21,0.4565386974339509,-0.13964308529647704
52,60,2020-12-30,2021-02-28,0.5028516914876838,0.029602171593712732
53,60,2021-01-06,2021-03-07,1.043078142789903,-0.010251448032563424
54,60,2021-01-13,2021-03-14,0.9388484163660844,-0.22222732918963004
55,60,2021-01-20,2021-03-21,0.9937424279043539,-0.23137056892198227
56,60,2021-01-27,2021-03-28,0.8890431007507019,-0.2597321857056382
57,60,2021-02-03,2021-04-04,0.7526001629424448,-0.19186812734501238
58,60,2021-02-10,2021-04-11,1.173378409169058,-0.08070474969500709
59,60,2021-02-17,2021-04-18,1.3033345737743558,0.023198936752306238
60,60,2021-02-24,2021-04-25,1.124930691871391,-0.0995956491208097
61,60,2021-03-03,2021-05-02,1.1727496516850564,-0.041911205364617066
62,60,2021-03-10,2021-05-09,0.8809077469869324,0.14876948173208268
63,60,2021-03-17,2021-05-16,0.6363278989424451,0.3534085572910867
64,60,2021-03-24,2021-05-23,0.7854520943841695,0.5691344924282579
65,60,2021-03-31,2021-05-30,0.7037048842964221,0.6308912293909651
66,60,2021-04-07,2021-06-06,0.7689419234534512,0.5844951287280125
67,60,2021-04-14,2021-06-13,0.8241331472909053,0.4601525500280639
68,60,2021-04-21,2021-06-20,1.7594435936438113,0.15171358381632344
69,60,2021-04-28,2021-06-27,1.9860096721783176,0.43639889400633836
70,60,2021-05-05,2021-07-04,2.2131178820041364,0.5676765935543054
71,60,2021-05-12,2021-07-11,2.319657451747253,0.4057405201888548
72,60,2021-05-19,2021-07-18,2.4960583058583583,0.41288125038103357
73,60,2021-05-26,2021-07-25,2.0506625785375716,0.1342183038265001
74,60,2021-06-02,2021-08-01,1.6225015006410173,-0.13253678360569435
75,60,2021-06-09,2021-08-08,1.872354491061428,0.013271580952817432
76,60,2021-06-16,2021-08-15,1.5447105057927946,0.014594348134809998
77,60,2021-06-23,2021-08-22,1.0295789949908116,0.04900127926678699
78,60,2021-06-30,2021-08-29,1.3227853332911983,0.12280827072837201
79,60,2021-07-07,2021-09-05,1.266921549243929,0.10698178704772414
80,60,2021-07-14,2021-09-12,1.0398641123167665,0.18185258716200137
81,60,2021-07-21,2021-09-19,1.0823991429292026,0.23220170242403837
82,60,2021-07-28,2021-09-26,1.3815145706968281,0.16560754149077705
83,60,2021-08-04,2021-10-03,1.7522007483835549,0.1677902043078914
84,60,2021-08-11,2021-10-10,1.5204638264936159,0.04363092841552818
85,60,2021-08-18,2021-10-17,1.9296848524294026,-0.052616547682355554
86,60,2021-08-25,2021-10-24,1.6377091500224277,-0.2934240496821727
87,60,2021-09-01,2021-10-31,1.505884768939423,-0.37858627406440837
88,60,2021-09-08,2021-11-07,1.1612804651340924,-0.3101651335761647
89,60,2021-09-15,2021-11-14,1.2109400933872838,-0.355915214470032
90,60,2021-09-22,2021-11-21,1.1946363876137844,-0.37584969375423527
91,60,2021-09-29,2021-11-28,1.218462772001347,-0.32169948861580844
92,60,2021-10-06,2021-12-05,1.451205912935595,-0.049889975955172916
93,60,2021-10-13,2021-12-12,1.4811459034904377,-0.095119777148242
94,60,2021-10-20,2021-12-19,1.4704393610739137,-0.12047830102835377
95,60,2021-10-27,2021-12-26,1.6851732994093,0.041778690690871624
96,60,2021-11-03,2022-01-02,1.6186597425479385,-0.0026265907758163914
97,60,2021-11-10,2022-01-09,1.7192515109996576,0.09467358653263358
98,60,2021-11-17,2022-01-16,1.9280087508478136,0.3242000406222681
99,60,2021-11-24,2022-01-23,2.3134194367441983,0.24752778219070018
100,60,2021-12-01,2022-01-30,2.1161219169766787,0.2958748045701957
101,60,2021-12-08,2022-02-06,2.2300757138806704,0.34031631409377755
102,60,2021-12-15,2022-02-13,1.7403585401643926,0.2735105934072613
103,60,2021-12-22,2022-02-20,1.7806498545825804,0.3335661288510881
104,60,2021-12-29,2022-02-27,1.9828539336083741,0.2376764332250424
105,60,2022-01-05,2022-03-06,2.795071444426081,0.15575986803891614
