Date, Open, High, Low, Close
09/28/22, 0.002355, 0.002365, 0.002309, 0.002359
09/27/22, 0.002356, 0.002384, 0.002346, 0.002355
09/26/22, 0.002387, 0.002392, 0.002346, 0.002355
09/23/22, 0.002426, 0.002431, 0.002379, 0.002387
09/22/22, 0.002416, 0.002444, 0.002404, 0.002426
09/21/22, 0.002485, 0.002495, 0.002413, 0.002416
09/20/22, 0.002513, 0.002524, 0.002480, 0.002485
09/19/22, 0.002475, 0.002515, 0.002461, 0.002513
09/16/22, 0.002446, 0.002483, 0.002439, 0.002476
09/15/22, 0.002461, 0.002466, 0.002441, 0.002446
09/14/22, 0.002496, 0.002507, 0.002456, 0.002460
09/13/22, 0.002544, 0.002569, 0.002495, 0.002496
09/12/22, 0.002531, 0.002586, 0.002531, 0.002544
09/09/22, 0.002520, 0.002563, 0.002517, 0.002532
09/08/22, 0.002530, 0.002541, 0.002498, 0.002519
09/07/22, 0.002453, 0.002531, 0.002443, 0.002530
09/06/22, 0.002456, 0.002485, 0.002447, 0.002454
09/05/22, 0.002477, 0.002485, 0.002447, 0.002455
09/02/22, 0.002475, 0.002519, 0.002472, 0.002476
09/01/22, 0.002508, 0.002519, 0.002471, 0.002475
08/31/22, 0.002491, 0.002513, 0.002457, 0.002509
08/30/22, 0.002449, 0.002494, 0.002443, 0.002490
08/29/22, 0.002421, 0.002457, 0.002405, 0.002448
08/26/22, 0.002424, 0.002449, 0.002413, 0.002421
08/25/22, 0.002434, 0.002459, 0.002417, 0.002424
08/24/22, 0.002408, 0.002444, 0.002396, 0.002433
08/23/22, 0.002430, 0.002444, 0.002400, 0.002408
08/22/22, 0.002484, 0.002487, 0.002429, 0.002430
08/19/22, 0.002483, 0.002491, 0.002463, 0.002484
08/18/22, 0.002483, 0.002483, 0.002483, 0.002483
08/17/22, 0.002521, 0.002531, 0.002487, 0.002524
08/16/22, 0.002545, 0.002549, 0.002492, 0.002520
08/15/22, 0.002615, 0.002619, 0.002541, 0.002545
08/12/22, 0.002615, 0.002627, 0.002597, 0.002612
08/11/22, 0.002607, 0.002635, 0.002592, 0.002613
08/10/22, 0.002573, 0.002632, 0.002547, 0.002607
08/09/22, 0.002586, 0.002597, 0.002567, 0.002573
08/08/22, 0.002587, 0.002606, 0.002575, 0.002586
08/05/22, 0.002594, 0.002603, 0.002571, 0.002587
08/04/22, 0.002578, 0.002599, 0.002565, 0.002595
08/03/22, 0.002550, 0.002585, 0.002541, 0.002578
08/02/22, 0.002556, 0.002587, 0.002546, 0.002550
08/01/22, 0.002529, 0.002573, 0.002521, 0.002557
07/29/22, 0.002521, 0.002540, 0.002499, 0.002529
07/28/22, 0.002529, 0.002539, 0.002476, 0.002522
07/27/22, 0.002522, 0.002539, 0.002491, 0.002529
07/26/22, 0.002557, 0.002575, 0.002521, 0.002522
07/25/22, 0.002572, 0.002594, 0.002553, 0.002557
07/22/22, 0.002571, 0.002585, 0.002540, 0.002571
07/21/22, 0.002554, 0.002573, 0.002525, 0.002571
07/20/22, 0.002569, 0.002597, 0.002542, 0.002554
07/19/22, 0.002526, 0.002587, 0.002518, 0.002569
07/18/22, 0.002516, 0.002553, 0.002510, 0.002526
07/15/22, 0.002468, 0.002518, 0.002459, 0.002516
07/14/22, 0.002449, 0.002476, 0.002427, 0.002469
07/13/22, 0.002462, 0.002477, 0.002435, 0.002449
07/12/22, 0.002467, 0.002487, 0.002412, 0.002462
07/11/22, 0.002515, 0.002518, 0.002446, 0.002467
07/08/22, 0.002523, 0.002537, 0.002474, 0.002516
07/07/22, 0.002489, 0.002529, 0.002450, 0.002523
07/06/22, 0.002520, 0.002525, 0.002440, 0.002488
07/05/22, 0.002592, 0.002600, 0.002504, 0.002519
07/04/22, 0.002607, 0.002612, 0.002586, 0.002593
07/01/22, 0.002645, 0.002646, 0.002581, 0.002608
06/30/22, 0.002650, 0.002659, 0.002612, 0.002644
06/29/22, 0.002648, 0.002674, 0.002636, 0.002651
06/28/22, 0.002631, 0.002663, 0.002620, 0.002649
06/27/22, 0.002630, 0.002643, 0.002614, 0.002630
06/24/22, 0.002633, 0.002641, 0.002618, 0.002629
06/23/22, 0.002670, 0.002675, 0.002622, 0.002633
06/22/22, 0.002669, 0.002677, 0.002648, 0.002670
06/21/22, 0.002646, 0.002678, 0.002644, 0.002670
06/20/22, 0.002646, 0.002646, 0.002646, 0.002646
06/17/22, 0.002646, 0.002648, 0.002610, 0.002625
06/16/22, 0.002626, 0.002657, 0.002604, 0.002646
06/15/22, 0.002595, 0.002651, 0.002594, 0.002627
06/14/22, 0.002598, 0.002634, 0.002586, 0.002595
06/13/22, 0.002643, 0.002644, 0.002587, 0.002598
06/10/22, 0.002686, 0.002694, 0.002634, 0.002644
06/09/22, 0.002709, 0.002723, 0.002684, 0.002686
06/08/22, 0.002751, 0.002757, 0.002706, 0.002709
06/07/22, 0.002761, 0.002770, 0.002733, 0.002751
06/06/22, 0.002761, 0.002761, 0.002761, 0.002761
06/03/22, 0.002726, 0.002741, 0.002711, 0.002734
06/02/22, 0.002685, 0.002727, 0.002683, 0.002726
06/01/22, 0.002703, 0.002718, 0.002680, 0.002684
05/31/22, 0.002734, 0.002739, 0.002692, 0.002702
05/30/22, 0.002723, 0.002751, 0.002720, 0.002735
05/27/22, 0.002728, 0.002755, 0.002708, 0.002723
05/26/22, 0.002719, 0.002753, 0.002694, 0.002729
05/25/22, 0.002719, 0.002719, 0.002719, 0.002719
05/24/22, 0.002799, 0.002819, 0.002783, 0.002804
05/23/22, 0.002747, 0.002800, 0.002747, 0.002799
05/20/22, 0.002752, 0.002764, 0.002740, 0.002748
05/19/22, 0.002752, 0.002752, 0.002752, 0.002752
05/18/22, 0.002726, 0.002726, 0.002726, 0.002726
05/17/22, 0.002676, 0.002736, 0.002668, 0.002733
